localmappingnumber,kf_id,track_frame_id,timestamp_ms,kf_insertion_ms,map_points_total,new_map_points,queue_length,kf_culled,mean_reprojection_error,max_reprojection_error,optimization_time_ms,ba_executed,ba_aborted,ba_iters,tracking_lost,source,event_type,timestamp,rel_time_s,map_id,tracking_state,imu_initialized,ba_type,num_opt_kf,num_fixed_kf,num_mappoints,num_edges,visual_chi2_before,visual_chi2_after,imu_chi2_before,imu_chi2_after,imu_chi2_mean,imu_chi2_max,imu_rot_res_mean,imu_vel_res_mean,imu_pos_res_mean,gyro_rw_chi2,acc_rw_chi2,bias_delta_norm,velocity_delta_norm,pose_correction_trans_norm,pose_correction_rot_deg,init_scale,init_bg_norm,init_ba_norm,init_prior_g,init_prior_a,init_full_ba
1,0,0,1778812572474,2.077,69,69,0,0,0.0000,0.0000,0.000,0,0,0,0,LocalMapping,KF_PROCESSED,1403715523.912143,0.000000,0,OK,no,none,0,0,0,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0
2,1,100,1778812577792,2.093,154,160,0,0,0.0000,0.0000,0.000,0,0,0,0,LocalMapping,KF_PROCESSED,1403715528.912143,5.000000,0,OK,no,none,0,0,0,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0
3,2,101,1778812577846,1.998,229,236,0,0,0.4931,3.5252,1.570,1,0,10,0,LocalMapping,LOCAL_BA,1403715528.962143,5.050000,0,OK,no,LocalBundleAdjustment,3,1,229,361,0.542957,0.244557,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.011358,0.230700,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0
4,3,102,1778812577900,2.096,268,236,0,0,0.5582,5.0034,2.043,1,0,10,0,LocalMapping,LOCAL_BA,1403715529.012143,5.100000,0,OK,no,LocalBundleAdjustment,4,1,268,483,0.398054,0.271481,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.012454,0.234068,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0
5,4,103,1778812577954,2.263,283,227,0,0,0.6688,6.0760,1.985,1,0,3,0,LocalMapping,LOCAL_BA,1403715529.062143,5.150000,0,OK,no,LocalBundleAdjustment,5,1,283,623,0.428800,0.314445,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.020931,0.398604,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0
6,5,104,1778812578007,2.192,333,262,0,0,0.7429,6.4007,2.654,1,0,3,0,LocalMapping,LOCAL_BA,1403715529.112143,5.200000,0,OK,no,LocalBundleAdjustment,6,1,333,828,0.445095,0.363276,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.006893,0.137056,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0
7,6,105,1778812578063,2.267,396,289,0,0,0.7916,7.2716,3.834,1,0,4,0,LocalMapping,LOCAL_BA,1403715529.162143,5.250000,0,OK,no,LocalBundleAdjustment,7,1,396,1104,0.537755,0.409428,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.009712,0.189746,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0
8,7,107,1778812578172,2.255,547,425,0,0,0.7518,7.9331,5.636,1,0,4,0,LocalMapping,LOCAL_BA,1403715529.262143,5.350000,0,OK,no,LocalBundleAdjustment,8,1,547,1478,0.472314,0.390059,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.001679,0.027976,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0
9,8,111,1778812578388,2.372,828,697,0,0,0.6857,6.8249,7.709,1,0,3,0,LocalMapping,LOCAL_BA,1403715529.462143,5.550000,0,OK,no,LocalBundleAdjustment,9,1,828,2012,0.405846,0.342728,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.000687,0.039565,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0
10,9,131,1778812579453,2.429,1232,1052,0,0,0.6136,7.4359,10.191,1,0,3,0,LocalMapping,LOCAL_BA,1403715530.462143,6.550000,0,OK,no,LocalBundleAdjustment,10,1,1232,2600,0.476378,0.310748,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.019526,0.400563,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0
