dataset,sequence,output_name,rmse,note
EuRoC,V1_01_easy,stereo_euroc_v101,0.033967,OK
EuRoC,V1_02_medium,stereo_euroc_v102,0.016355,OK
EuRoC,V1_03_difficult,stereo_euroc_v103,0.020487,OK
TUM-VI,room1,stereo_tum_room1,0.007206,OK
TUM-VI,room2,stereo_tum_room2,0.006274,OK
TUM-VI,room3,stereo_tum_room3,FAILED,stereo_inertial_tum_vi 回傳 -11
TUM-VI,room4,stereo_tum_room4,0.007078,OK
TUM-VI,room5,stereo_tum_room5,0.00836,OK
TUM-VI,room6,stereo_tum_room6,0.005425,OK
TUM-VI,corridor1,stereo_tum_corr1,0.011058,OK
TUM-VI,corridor2,stereo_tum_corr2,0.012493,OK
TUM-VI,corridor3,stereo_tum_corr3,0.007713,OK
TUM-VI,corridor4,stereo_tum_corr4,0.079325,OK
TUM-VI,corridor5,stereo_tum_corr5,0.007748,OK
TUM-VI,slides1,stereo_tum_slides1,0.39863,OK
TUM-VI,slides2,stereo_tum_slides2,0.427621,OK
TUM-VI,slides3,stereo_tum_slides3,0.383193,OK
