timestamp_s,frame_id,kf_id,kf_timestamp,kf_queue_sz,total_ms,lba_ms,lba_done,lba_aborted,consec_ba_abort,opt_kfs,fixed_kfs,mps_ba,edges_ba,mps_in_map,mps_culled,new_mps,kfs_in_map,kfs_culled,scale,scale_drift,scale_adj_count,imu_init,viba_stage,alert,alert_reason
5.746217,0,0,1403715273.262143,2,7.923914,0.000000,0,0,0,0,0,0,0,1423,0,1065,2,0,1.000000,0.000000,0,0,0,OK,OK
5.757210,111,1,1403715278.812143,1,3.945167,0.000000,0,0,0,0,0,0,0,1429,0,6,2,0,1.000000,0.000000,0,0,0,OK,OK
5.773385,112,2,1403715278.862143,1,10.434856,7.352004,1,0,0,3,1,0,2330,889,631,91,3,0,1.000000,0.000000,0,0,0,OK,OK
5.823594,113,3,1403715278.912143,1,12.728560,6.641656,1,0,0,4,1,0,2628,801,221,146,4,0,1.000000,0.000000,0,0,0,OK,OK
5.873113,114,4,1403715278.962143,1,15.896833,8.924063,1,0,0,5,1,0,3460,963,16,220,5,0,1.000000,0.000000,0,0,0,OK,OK
5.925901,115,5,1403715279.012143,1,18.691938,11.766962,1,0,0,6,1,0,4225,1060,18,200,6,0,1.000000,0.000000,0,0,0,OK,OK
6.030248,117,6,1403715279.112143,1,20.100499,12.317945,1,0,0,7,1,0,4843,1132,25,194,7,0,1.000000,0.000000,0,0,0,OK,OK
6.133055,119,7,1403715279.212143,1,22.714345,14.041171,1,0,0,8,1,0,5389,1124,57,172,8,0,1.000000,0.000000,0,0,0,OK,OK
6.186352,120,8,1403715279.262143,1,25.213820,16.144084,1,0,0,9,1,0,6096,1155,21,170,9,0,1.000000,0.000000,0,0,0,OK,OK
6.236152,121,9,1403715279.312143,1,26.935523,16.840404,1,0,0,10,1,0,6681,1167,31,155,9,1,1.000000,0.000000,0,0,0,OK,OK
6.339865,123,10,1403715279.412143,1,28.264833,17.605422,1,0,0,10,1,0,6649,1164,19,157,9,1,1.000000,0.000000,0,0,0,OK,OK
6.392605,124,11,1403715279.462143,1,26.792218,16.521083,1,0,0,10,1,0,6573,1156,21,155,9,1,1.000000,0.000000,0,0,0,OK,OK
6.495903,126,12,1403715279.562143,1,28.867063,17.876493,1,0,0,10,1,0,6595,1150,14,161,10,0,1.000000,0.000000,0,0,0,OK,OK
6.598108,128,13,1403715279.662143,1,30.422740,18.149470,1,0,0,11,1,0,7138,1164,17,162,9,2,1.000000,0.000000,0,0,0,OK,OK
6.649961,129,14,1403715279.712143,1,29.197955,17.511774,1,0,0,10,1,0,6554,1166,0,191,10,0,1.000000,0.000000,0,0,0,OK,OK
6.752566,131,15,1403715279.812143,1,30.954590,18.682330,1,0,0,11,1,0,7252,1178,8,169,10,1,1.000000,0.000000,0,0,0,OK,OK
6.805118,132,16,1403715279.862143,1,30.879414,18.536935,1,0,0,11,1,0,7247,1194,8,167,10,1,1.000000,0.000000,0,0,0,OK,OK
6.906342,134,17,1403715279.962143,1,32.869751,20.259996,1,0,0,11,1,0,7359,1226,8,198,10,1,1.000000,0.000000,0,0,0,OK,OK
6.957662,135,18,1403715280.012143,1,31.824795,19.331219,1,0,0,11,1,0,7430,1255,11,202,11,0,1.000000,0.000000,0,0,0,OK,OK
7.011124,136,19,1403715280.062143,1,33.499142,20.944257,1,0,0,12,1,0,8090,1297,16,206,11,1,1.000000,0.000000,0,0,0,OK,OK
7.062991,137,20,1403715280.112143,1,33.213715,20.917632,1,0,0,12,1,0,8069,1310,11,203,11,1,1.000000,0.000000,0,0,0,OK,OK
7.114572,138,21,1403715280.162143,1,33.330854,20.896904,1,0,0,12,1,0,8093,1315,14,208,11,1,1.000000,0.000000,0,0,0,OK,OK
7.166269,139,22,1403715280.212143,1,32.862573,20.632583,1,0,0,12,1,0,8008,1305,17,194,11,1,1.000000,0.000000,0,0,0,OK,OK
7.217502,140,23,1403715280.262143,1,33.604129,20.929852,1,0,0,12,1,0,7940,1309,12,192,11,1,1.000000,0.000000,0,0,0,OK,OK
7.269471,141,24,1403715280.312143,1,33.061379,20.665671,1,0,0,12,1,0,7919,1307,8,202,12,0,1.000000,0.000000,0,0,0,OK,OK
7.321010,142,25,1403715280.362143,1,38.303319,23.628611,1,0,0,13,1,0,8654,1348,7,203,12,1,1.000000,0.000000,0,0,0,OK,OK
7.371588,143,26,1403715280.412143,1,36.891717,22.650065,1,0,0,13,1,0,8621,1349,14,183,12,1,1.000000,0.000000,0,0,0,OK,OK
7.475883,145,27,1403715280.512143,1,37.220360,23.298101,1,0,0,13,1,0,8615,1357,20,201,12,1,1.000000,0.000000,0,0,0,OK,OK
7.525335,146,28,1403715280.562143,1,36.473016,22.943061,1,0,0,13,1,0,8608,1335,28,177,13,0,1.000000,0.000000,0,0,0,OK,OK
7.577126,147,29,1403715280.612143,1,41.732051,27.073966,1,0,0,14,1,0,9195,1365,23,177,13,1,1.000000,0.000000,0,0,0,OK,OK
7.631123,148,30,1403715280.662143,1,41.891991,25.981820,1,0,0,14,1,0,9053,1352,10,150,13,1,1.000000,0.000000,0,0,0,OK,OK
7.682224,149,31,1403715280.712143,1,39.377969,24.449817,1,0,0,14,1,0,8988,1377,5,176,14,0,1.000000,0.000000,0,0,0,OK,OK
7.733856,150,32,1403715280.762143,1,43.291197,26.810520,1,0,0,15,1,0,9511,1367,14,152,14,1,1.000000,0.000000,0,0,0,OK,OK
7.783308,151,33,1403715280.812143,1,41.882948,26.017816,1,0,0,15,1,0,9350,1371,12,162,14,1,1.000000,0.000000,0,0,0,OK,OK
7.834407,152,34,1403715280.862143,1,42.028902,26.511187,1,0,0,15,1,0,9422,1360,0,157,13,2,1.000000,0.000000,0,0,0,OK,OK
7.885640,153,35,1403715280.912143,1,38.080528,23.714408,1,0,0,14,1,0,8812,1358,6,155,14,0,1.000000,0.000000,0,0,0,OK,OK
7.991108,155,36,1403715281.012143,1,40.235148,23.831635,1,0,0,15,1,0,9354,1418,16,193,14,1,1.000000,0.000000,0,0,0,OK,OK
8.043595,156,37,1403715281.062143,1,39.154097,23.969505,1,0,0,15,1,0,9345,1403,8,155,15,0,1.000000,0.000000,0,0,0,OK,OK
8.146939,158,38,1403715281.162143,1,42.560004,26.236268,1,0,0,16,1,0,9876,1446,11,184,15,1,1.000000,0.000000,0,0,0,OK,OK
8.250674,160,39,1403715281.262143,1,41.824542,25.983519,1,0,0,16,1,0,9820,1453,17,197,15,1,1.000000,0.000000,0,0,0,OK,OK
8.405859,163,40,1403715281.412143,1,44.535029,27.916772,1,0,0,16,1,0,9799,1463,6,188,16,0,1.000000,0.000000,0,0,0,OK,OK
8.456533,164,41,1403715281.462143,1,46.754884,28.005544,1,0,0,17,1,0,10424,1503,15,191,16,1,1.000000,0.000000,0,0,0,OK,OK
8.506356,165,42,1403715281.512143,1,47.638591,29.831259,1,0,0,17,1,0,10482,1501,5,162,16,1,1.000000,0.000000,0,0,0,OK,OK
8.560119,166,43,1403715281.562143,1,56.549827,39.884388,1,0,0,17,1,0,10406,1502,13,167,16,1,1.000000,0.000000,0,0,0,OK,OK
8.662502,168,44,1403715281.662143,1,46.926733,29.627636,1,0,0,17,1,0,10370,1509,7,171,17,0,1.000000,0.000000,0,0,0,OK,OK
8.764561,170,45,1403715281.762143,1,54.038654,36.088952,1,0,0,18,1,0,10932,1532,18,180,17,1,1.000000,0.000000,0,0,0,OK,OK
8.867829,172,46,1403715281.862143,1,48.265881,30.500341,1,0,0,18,1,0,10814,1511,12,146,17,1,1.000000,0.000000,0,0,0,OK,OK
8.971124,174,47,1403715281.962143,1,53.965008,36.924634,1,0,0,18,1,0,10712,1523,18,156,17,1,1.000000,0.000000,0,0,0,OK,OK
9.074203,176,48,1403715282.062143,1,49.846118,32.920456,1,0,0,18,1,0,10679,1564,12,193,17,1,1.000000,0.000000,0,0,0,OK,OK
9.179334,178,49,1403715282.162143,1,52.700192,35.993303,1,0,0,18,1,0,10744,1573,14,174,17,1,1.000000,0.000000,0,0,0,OK,OK
9.280999,180,50,1403715282.262143,1,50.308709,33.399321,1,0,0,18,1,0,10725,1598,29,167,18,0,1.000000,0.000000,0,0,0,OK,OK
9.334373,181,51,1403715282.312143,1,52.263696,35.284689,1,0,0,19,1,0,11182,1624,18,139,19,0,1.000000,0.000000,0,0,0,OK,OK
9.438807,183,52,1403715282.412143,1,58.261440,39.520569,1,0,0,20,1,0,11665,1644,24,150,19,1,1.000000,0.000000,0,0,0,OK,OK
9.543358,185,53,1403715282.512143,1,56.565650,38.147701,1,0,0,20,1,0,11597,1669,24,172,19,1,1.000000,0.000000,0,0,0,OK,OK
9.645855,187,54,1403715282.612143,1,56.820000,39.514120,1,0,0,20,1,0,11535,1698,23,167,20,0,1.000000,0.000000,0,0,0,OK,OK
9.748534,189,55,1403715282.712143,1,59.034645,40.337495,1,0,0,21,1,0,11989,1770,29,200,20,1,1.000000,0.000000,0,0,0,OK,OK
9.850433,191,56,1403715282.812143,1,59.439715,41.033894,1,0,0,21,1,0,11951,1779,23,179,21,0,1.000000,0.000000,0,0,0,OK,OK
9.955913,193,57,1403715282.912143,1,58.085399,39.283570,1,0,0,22,1,0,12408,1819,26,183,22,0,1.000000,0.000000,0,0,0,OK,OK
10.059891,195,58,1403715283.012143,1,59.166239,39.566963,1,0,0,23,1,0,12828,1832,30,177,22,1,1.000000,0.000000,0,0,0,OK,OK
10.162101,197,59,1403715283.112143,1,67.018021,47.376856,1,0,0,23,1,0,12702,1835,33,163,23,0,1.000000,0.000000,0,0,0,OK,OK
10.265858,199,60,1403715283.212143,1,66.539964,44.709250,1,0,0,24,1,0,13209,1877,25,166,23,1,1.000000,0.000000,0,0,0,OK,OK
10.369214,201,61,1403715283.312143,1,65.978931,46.034149,1,0,0,24,1,0,13135,1909,33,185,24,0,1.000000,0.000000,0,0,0,OK,OK
10.471906,203,62,1403715283.412143,1,65.179053,45.538334,1,0,0,25,1,0,13589,1923,27,158,25,0,1.000000,0.000000,0,0,0,OK,OK
10.576865,205,63,1403715283.512143,1,75.637614,52.456184,1,0,0,26,1,0,14137,1958,38,166,25,1,1.000000,0.000000,0,0,0,OK,OK
10.680044,207,64,1403715283.612143,1,68.735106,46.334517,1,0,0,26,1,0,14057,1959,24,147,26,0,1.000000,0.000000,0,0,0,OK,OK
10.782648,209,65,1403715283.712143,1,68.433193,45.295638,1,0,0,27,1,0,14569,2009,27,164,26,1,1.000000,0.000000,0,0,0,OK,OK
10.939906,212,66,1403715283.862143,1,74.512363,51.335244,1,0,0,27,1,0,14612,2041,27,179,27,0,1.000000,0.000000,0,0,0,OK,OK
11.094394,215,67,1403715284.012143,1,78.697393,54.942768,1,0,0,28,1,0,15369,2138,14,219,27,1,1.000000,0.000000,0,0,0,OK,OK
11.197780,217,68,1403715284.112143,1,76.605751,53.318095,1,0,0,28,1,0,15396,2155,23,188,28,0,1.000000,0.000000,0,0,0,OK,OK
11.302179,219,69,1403715284.212143,1,85.539198,58.445949,1,0,0,29,1,0,15757,2152,42,162,29,0,1.000000,0.000000,0,0,0,OK,OK
11.455067,222,70,1403715284.362143,1,79.942605,53.770877,1,0,0,30,1,0,16273,2199,34,206,29,1,1.000000,0.000000,0,0,0,OK,OK
11.663401,226,71,1403715284.562143,1,92.356460,66.858031,1,0,0,30,1,0,16281,2206,58,224,29,1,1.000000,0.000000,0,0,0,OK,OK
11.768003,228,72,1403715284.662143,1,83.416317,58.827447,1,0,0,30,1,0,16268,2206,14,181,30,0,1.000000,0.000000,0,0,0,OK,OK
