frame_id,timestamp_ms,kf_insertion_ms,map_points_total,new_map_points,queue_length,kf_culled
1,1775481365831,0.054,463,463,1,0
2,1775481365842,0.116,464,884,1,0
3,1775481365853,0.192,365,723,0,0
4,1775481366059,2.911,256,297,0,0
5,1775481366169,3.029,299,125,0,0
6,1775481366226,3.416,333,143,0,0
7,1775481366282,3.733,359,135,0,0
8,1775481366391,3.237,368,129,0,1
9,1775481366497,3.443,372,108,0,1
10,1775481366550,3.262,389,107,0,1
11,1775481366661,3.535,391,95,0,1
12,1775481366768,3.311,391,98,0,1
13,1775481366824,3.426,388,74,0,1
14,1775481366876,3.464,398,87,0,1
15,1775481366931,3.246,402,87,0,1
16,1775481366983,3.250,420,87,0,1
17,1775481367039,3.323,434,94,0,0
18,1775481367146,3.342,448,109,0,1
19,1775481367256,3.348,437,91,0,2
20,1775481367361,3.534,449,88,0,1
21,1775481367470,3.756,466,99,0,0
22,1775481367580,3.688,450,90,0,2
23,1775481367683,3.295,462,93,0,1
24,1775481367739,3.788,473,101,0,1
25,1775481367848,3.484,476,113,0,1
26,1775481367958,3.578,501,132,0,0
27,1775481368065,3.434,508,135,0,1
28,1775481368177,3.579,541,158,0,1
29,1775481368286,3.999,555,155,0,1
30,1775481368395,4.920,581,177,0,1
31,1775481368503,3.963,598,156,0,0
32,1775481368612,3.749,589,160,0,2
33,1775481368719,3.620,605,151,0,0
34,1775481368830,4.015,600,129,0,1
35,1775481368882,3.579,602,130,0,1
36,1775481368991,4.036,603,146,0,1
37,1775481369048,3.858,646,167,0,1
38,1775481369102,3.728,696,225,0,0
39,1775481369160,3.732,705,244,0,1
40,1775481369215,3.681,738,248,0,0
41,1775481369331,3.932,753,241,0,1
42,1775481369383,4.233,782,250,0,0
43,1775481369441,3.871,799,281,0,1
44,1775481369496,3.904,862,293,0,0
45,1775481369558,4.092,871,279,0,1
46,1775481369665,4.348,901,279,0,0
47,1775481369780,4.232,916,257,0,1
48,1775481369887,4.190,931,274,0,1
49,1775481369993,4.127,943,270,0,0
50,1775481370105,4.171,937,248,0,1
51,1775481370209,4.094,960,226,0,0
52,1775481370321,4.326,981,219,0,0
53,1775481370435,4.238,979,193,0,0
54,1775481370534,4.416,974,173,0,1
55,1775481370813,4.583,1009,222,0,1
56,1775481370924,4.643,1072,264,0,0
57,1775481371030,5.967,1110,333,0,0
58,1775481371148,5.397,1206,446,0,2
59,1775481371251,4.927,1294,567,0,0
60,1775481371364,4.987,1355,620,0,0
61,1775481371484,4.751,1376,601,0,0
62,1775481371592,4.993,1393,562,0,1
63,1775481371696,4.232,1406,490,0,1
64,1775481371802,4.156,1422,394,0,0
65,1775481371917,4.084,1458,389,0,0
66,1775481372026,4.297,1474,378,0,0
67,1775481372147,5.045,1480,343,0,1
68,1775481372307,4.852,1547,361,0,0
69,1775481372461,4.379,1605,399,0,0
70,1775481372631,4.487,1683,463,0,0
71,1775481372793,4.631,1783,537,0,0
72,1775481372972,4.367,1887,580,0,0
73,1775481373135,4.586,1956,606,0,0
74,1775481373294,4.838,2060,635,0,0
75,1775481373475,4.972,2121,620,0,0
76,1775481373632,5.287,2105,581,0,0
77,1775481373822,6.163,2077,590,0,0
78,1775481374023,6.564,2061,606,0,0
79,1775481374209,6.622,1989,612,0,3
80,1775481374415,6.516,1968,490,0,0
81,1775481374632,6.428,1943,430,0,2
82,1775481374850,6.806,1923,429,0,2
83,1775481375065,7.642,1927,454,0,1
84,1775481375291,6.766,1956,504,0,2
85,1775481375467,7.628,1958,510,0,0
86,1775481375669,7.179,1993,560,0,0
87,1775481375879,7.250,1897,460,0,1
88,1775481376069,7.387,1881,438,0,1
89,1775481376226,7.517,1799,530,0,8
90,1775481376421,7.386,1832,524,0,1
91,1775481376596,7.356,1769,451,0,2
92,1775481376748,6.545,1852,527,0,1
93,1775481376904,6.454,1896,501,0,0
94,1775481377031,7.348,1914,505,0,0
95,1775481377198,7.328,1899,458,0,1
96,1775481377362,7.938,1924,428,0,0
97,1775481377527,7.004,1887,408,0,2
98,1775481377680,6.738,1923,421,0,0
99,1775481377856,7.051,1963,433,0,0
100,1775481378057,7.738,2015,508,0,1
101,1775481378256,7.268,2016,475,0,0
102,1775481378406,7.375,2033,492,0,1
103,1775481378574,7.498,2011,469,0,1
104,1775481378748,8.554,2020,453,0,1
105,1775481378979,7.777,1990,443,0,1
106,1775481379121,7.624,2019,462,0,0
107,1775481379318,7.602,2005,417,0,2
108,1775481379503,7.714,1973,385,0,2
109,1775481379830,8.136,1968,434,0,1
110,1775481379995,7.894,2016,489,0,0
111,1775481380187,8.013,1994,482,0,0
112,1775481380350,8.193,1976,478,0,2
113,1775481380496,7.621,1938,461,0,1
114,1775481380650,8.122,1913,430,0,1
115,1775481380886,9.146,1886,431,0,2
116,1775481381044,8.398,1950,470,0,0
117,1775481381203,8.617,1977,484,0,1
118,1775481381366,7.452,1996,476,0,1
119,1775481381527,6.581,1955,390,0,1
120,1775481381691,7.426,1943,397,0,1
121,1775481381865,7.521,1939,448,0,2
122,1775481382016,7.852,1896,451,0,2
123,1775481382170,6.648,1897,433,0,0
124,1775481382333,7.149,1894,441,0,2
125,1775481382509,7.831,1986,500,0,0
126,1775481383008,8.460,1946,491,0,1
127,1775481383161,7.620,1971,470,0,1
128,1775481383314,7.158,1981,457,0,1
129,1775481383465,7.468,2023,437,0,0
130,1775481383650,7.099,2062,500,0,0
131,1775481383809,7.786,2039,468,0,2
132,1775481383963,7.178,2047,524,0,1
133,1775481384129,7.880,2037,539,0,2
134,1775481384555,8.391,1994,548,0,1
135,1775481384718,7.924,1998,562,0,2
136,1775481384876,7.598,1975,522,0,1
137,1775481385029,7.618,1985,490,0,2
138,1775481385195,8.215,1985,473,0,0
139,1775481385361,8.280,1919,452,0,2
140,1775481385517,6.748,1935,392,0,0
141,1775481385694,5.739,1949,423,0,1
142,1775481385854,5.389,2038,470,0,0
143,1775481386008,5.745,2116,536,0,0
144,1775481386176,6.284,2137,543,0,1
145,1775481386439,7.961,2078,471,0,1
146,1775481386600,7.796,2060,457,0,2
147,1775481386765,7.202,2074,456,0,1
148,1775481386929,6.640,2120,454,0,0
149,1775481387088,6.377,2180,439,0,0
150,1775481387255,4.939,2224,421,0,1
151,1775481387409,4.801,2321,452,0,0
152,1775481387597,5.039,2417,514,0,0
153,1775481387918,7.855,2434,560,0,0
154,1775481388186,7.547,2375,476,0,1
155,1775481388348,7.609,2384,433,0,1
156,1775481388619,7.892,2412,431,0,0
157,1775481388957,8.397,2393,435,0,1
158,1775481389334,7.877,2393,446,0,1
159,1775481389501,8.149,2420,416,0,1
160,1775481389702,7.725,2411,405,0,1
161,1775481389871,7.377,2459,391,0,0
162,1775481390022,6.928,2472,399,0,1
163,1775481390190,6.145,2519,428,0,0
