frame_id,timestamp,rel_time_s,當前幀狀態,上一幀狀態,tracking_method,initial_matches,matches_before_tlm_opt,matches_after_tlm_opt,final_inliers,need_new_kf,new_kf_created,total_kf_in_map,total_mp_in_map,local_map_mp_count,local_kf_count,map_updated,reloc_attempted,reloc_success,reloc_candidates,reloc_bow_pass,reloc_pnp_inliers,imu_initialized,bias_acc_norm,bias_gyro_norm,preintegration_ms,pose_pred_ms,track_local_map_ms,need_new_kf_ms,total_tracking_ms
110,1403715278.762143,0.000000,OK,NOT_INITIALIZED,none,0,0,0,0,no,no,2,351,0,0,no,no,no,0,0,0,no,0.000000,0.000000,0.000,0.000,0.000,0.000,29.227
111,1403715278.812143,0.050000,OK,OK,RefKF,223,360,337,337,yes,yes,2,1083,1083,2,no,no,no,0,0,0,no,0.000000,0.000000,0.000,2.591,1.313,0.046,4.519
112,1403715278.862143,0.100000,OK,OK,MM,278,341,327,327,yes,yes,3,720,720,3,yes,no,no,0,0,0,no,0.000000,0.000000,0.000,1.011,0.990,0.034,2.367
113,1403715278.912143,0.150000,OK,OK,MM,263,387,366,366,yes,yes,4,671,671,4,yes,no,no,0,0,0,no,0.000000,0.000000,0.000,0.957,1.359,0.040,2.674
114,1403715278.962143,0.200000,OK,OK,MM,308,453,435,435,yes,yes,5,810,810,5,yes,no,no,0,0,0,no,0.000000,0.000000,0.000,1.367,1.698,0.032,3.429
115,1403715279.012143,0.250000,OK,OK,MM,360,501,483,483,yes,yes,6,912,912,6,yes,no,no,0,0,0,no,0.000000,0.000000,0.000,1.362,1.545,0.032,3.262
116,1403715279.062143,0.300000,OK,OK,MM,400,521,502,502,yes,yes,7,991,991,7,yes,no,no,0,0,0,no,0.000000,0.000000,0.000,1.413,1.510,0.028,3.274
117,1403715279.112143,0.350000,OK,OK,MM,421,570,545,545,yes,yes,8,1069,1069,8,yes,no,no,0,0,0,no,0.000000,0.000000,0.000,1.456,1.539,0.028,3.373
118,1403715279.162143,0.400000,OK,OK,MM,472,590,568,568,no,no,9,1089,1089,9,yes,no,no,0,0,0,no,0.000000,0.000000,0.000,1.641,1.860,0.029,3.842
119,1403715279.212143,0.450000,OK,OK,MM,479,567,537,537,yes,yes,9,1089,1089,9,no,no,no,0,0,0,no,0.000000,0.000000,0.000,1.697,1.804,0.047,3.890
120,1403715279.262143,0.500000,OK,OK,MM,461,580,558,558,yes,yes,10,1104,1104,10,yes,no,no,0,0,0,no,0.000000,0.000000,0.000,1.780,1.737,0.027,3.901
121,1403715279.312143,0.550000,OK,OK,MM,464,573,556,556,yes,yes,10,1098,1098,10,yes,no,no,0,0,0,no,0.000000,0.000000,0.000,1.573,1.682,0.027,3.620
122,1403715279.362143,0.600000,OK,OK,MM,462,594,570,570,no,no,10,1100,1100,10,yes,no,no,0,0,0,no,0.000000,0.000000,0.000,1.753,1.599,0.028,3.686
123,1403715279.412143,0.650000,OK,OK,MM,480,568,554,554,yes,yes,10,1100,1100,10,no,no,no,0,0,0,no,0.000000,0.000000,0.000,1.714,1.768,0.043,3.876
124,1403715279.462143,0.700000,OK,OK,MM,464,564,543,543,yes,yes,10,1106,1106,10,yes,no,no,0,0,0,no,0.000000,0.000000,0.000,1.650,1.734,0.028,3.756
125,1403715279.512143,0.750000,OK,OK,MM,454,585,567,567,no,no,10,1085,1085,10,yes,no,no,0,0,0,no,0.000000,0.000000,0.000,1.652,1.871,0.027,3.870
126,1403715279.562143,0.800000,OK,OK,MM,489,590,564,564,yes,yes,10,1085,1085,10,no,no,no,0,0,0,no,0.000000,0.000000,0.000,1.719,1.785,0.048,3.900
127,1403715279.612143,0.850000,OK,OK,MM,511,604,595,595,no,no,10,1062,1062,10,yes,no,no,0,0,0,no,0.000000,0.000000,0.000,1.728,1.753,0.027,3.828
128,1403715279.662143,0.900000,OK,OK,MM,482,578,560,560,yes,yes,10,1062,1062,10,no,no,no,0,0,0,no,0.000000,0.000000,0.000,1.956,1.768,0.027,4.123
129,1403715279.712143,0.950000,OK,OK,MM,476,544,520,520,yes,yes,10,1035,1035,10,yes,no,no,0,0,0,no,0.000000,0.000000,0.000,1.515,1.659,0.027,3.552
130,1403715279.762143,1.000000,OK,OK,MM,432,565,536,536,no,no,10,1053,1053,10,yes,no,no,0,0,0,no,0.000000,0.000000,0.000,1.558,1.723,0.025,3.614
131,1403715279.812143,1.050000,OK,OK,MM,453,574,545,545,yes,yes,10,1053,1053,10,no,no,no,0,0,0,no,0.000000,0.000000,0.000,1.587,1.868,0.046,3.845
132,1403715279.862143,1.100000,OK,OK,MM,461,552,532,532,yes,yes,11,1073,1073,11,yes,no,no,0,0,0,no,0.000000,0.000000,0.000,1.722,1.604,0.028,3.718
133,1403715279.912143,1.150000,OK,OK,MM,438,580,554,554,no,no,10,1068,1068,10,yes,no,no,0,0,0,no,0.000000,0.000000,0.000,1.692,1.900,0.026,3.933
134,1403715279.962143,1.200000,OK,OK,MM,477,563,543,543,yes,yes,10,1068,1068,10,no,no,no,0,0,0,no,0.000000,0.000000,0.000,1.769,1.729,0.041,3.897
135,1403715280.012143,1.250000,OK,OK,MM,456,569,542,542,yes,yes,11,1093,1093,11,yes,no,no,0,0,0,no,0.000000,0.000000,0.000,1.850,2.019,0.026,4.246
136,1403715280.062143,1.300000,OK,OK,MM,438,554,527,527,yes,yes,10,1071,1071,10,yes,no,no,0,0,0,no,0.000000,0.000000,0.000,1.578,1.797,0.027,3.771
137,1403715280.112143,1.350000,OK,OK,MM,429,577,536,536,yes,yes,11,1123,1123,11,yes,no,no,0,0,0,no,0.000000,0.000000,0.000,1.591,1.939,0.027,3.919
138,1403715280.162143,1.400000,OK,OK,MM,432,592,555,555,no,no,11,1141,1141,11,yes,no,no,0,0,0,no,0.000000,0.000000,0.000,1.657,1.782,0.027,3.801
139,1403715280.212143,1.450000,OK,OK,MM,450,570,524,524,yes,yes,11,1141,1141,11,no,no,no,0,0,0,no,0.000000,0.000000,0.000,1.659,2.126,0.059,4.232
140,1403715280.262143,1.500000,OK,OK,MM,411,581,530,530,yes,yes,12,1170,1170,12,yes,no,no,0,0,0,no,0.000000,0.000000,0.000,1.486,2.197,0.034,4.105
141,1403715280.312143,1.550000,OK,OK,MM,418,586,537,537,yes,yes,12,1163,1163,12,yes,no,no,0,0,0,no,0.000000,0.000000,0.000,1.872,2.456,0.034,4.770
142,1403715280.362143,1.600000,OK,OK,MM,407,550,509,509,yes,yes,12,1164,1164,12,yes,no,no,0,0,0,no,0.000000,0.000000,0.000,1.768,2.221,0.027,4.395
143,1403715280.412143,1.650000,OK,OK,MM,391,567,515,515,yes,yes,12,1207,1207,12,yes,no,no,0,0,0,no,0.000000,0.000000,0.000,1.426,1.977,0.028,3.817
144,1403715280.462143,1.700000,OK,OK,MM,440,574,519,519,yes,yes,12,1208,1208,12,yes,no,no,0,0,0,no,0.000000,0.000000,0.000,1.638,2.034,0.029,4.099
145,1403715280.512143,1.750000,OK,OK,MM,439,576,523,523,yes,yes,13,1233,1233,13,yes,no,no,0,0,0,no,0.000000,0.000000,0.000,1.553,2.187,0.028,4.193
146,1403715280.562143,1.800000,OK,OK,MM,398,546,474,474,yes,yes,13,1234,1234,13,yes,no,no,0,0,0,no,0.000000,0.000000,0.000,1.411,2.089,0.028,3.946
147,1403715280.612143,1.850000,OK,OK,MM,397,533,450,450,yes,yes,14,1254,1254,14,yes,no,no,0,0,0,no,0.000000,0.000000,0.000,1.468,1.856,0.023,3.740
148,1403715280.662143,1.900000,OK,OK,MM,373,526,461,461,yes,yes,14,1272,1272,14,yes,no,no,0,0,0,no,0.000000,0.000000,0.000,1.397,1.966,0.024,3.757
149,1403715280.712143,1.950000,OK,OK,MM,389,537,469,469,yes,yes,15,1292,1292,15,yes,no,no,0,0,0,no,0.000000,0.000000,0.000,1.320,2.113,0.027,3.883
