timestamp_s,frame_id,tracking_state,feature_pts,inlier_matches,tracked_mps
5.771361,112,OK,1003,497,497
5.821251,113,OK,1002,422,422
5.872524,114,OK,1004,424,424
5.924870,115,OK,1001,488,488
6.028746,117,OK,1005,479,479
6.131991,119,OK,1003,539,539
6.183636,120,OK,1001,542,542
6.235315,121,OK,1004,552,552
6.338139,123,OK,1001,550,550
6.389667,124,OK,1003,545,545
6.494180,126,OK,1003,559,559
6.596249,128,OK,1002,563,563
6.647299,129,OK,1001,511,511
6.750834,131,OK,1006,561,561
6.802497,132,OK,1002,541,541
6.905812,134,OK,1004,566,566
6.957308,135,OK,1003,561,561
7.009335,136,OK,1005,553,553
7.060584,137,OK,1001,543,543
7.112765,138,OK,1005,540,540
7.164369,139,OK,1005,546,546
7.215844,140,OK,1006,512,512
7.267417,141,OK,1004,513,513
7.318378,142,OK,1004,522,522
7.369831,143,OK,1004,532,532
7.473120,145,OK,994,525,525
7.524799,146,OK,1003,472,472
7.576329,147,OK,988,464,464
7.628732,148,OK,992,484,484
7.680017,149,OK,1001,478,478
7.731608,150,OK,995,478,478
7.783003,151,OK,995,458,458
7.833741,152,OK,984,441,441
7.885283,153,OK,988,444,444
7.989281,155,OK,982,459,459
8.041132,156,OK,984,468,468
8.144563,158,OK,985,447,447
8.247931,160,OK,985,450,450
8.402882,163,OK,978,451,451
8.454820,164,OK,979,478,478
8.506143,165,OK,981,488,488
8.557613,166,OK,978,488,488
8.660711,168,OK,974,454,454
8.763752,170,OK,982,434,434
8.866708,172,OK,985,431,431
8.970108,174,OK,980,422,422
9.074118,176,OK,997,402,402
9.177333,178,OK,993,396,396
9.280964,180,OK,1002,381,381
9.334186,181,OK,1005,411,411
9.436463,183,OK,1000,390,390
9.540378,185,OK,1005,383,383
9.643112,187,OK,1005,380,380
9.746515,189,OK,1008,401,401
9.849931,191,OK,1009,388,388
9.953469,193,OK,1007,385,385
10.057077,195,OK,1007,355,355
10.160682,197,OK,1009,347,347
10.264002,199,OK,1009,376,376
10.367500,201,OK,1008,332,332
10.470899,203,OK,1009,355,355
10.574735,205,OK,1009,364,364
10.678048,207,OK,1002,362,362
10.781564,209,OK,1008,368,368
10.936941,212,OK,1006,392,392
11.092206,215,OK,1008,436,436
11.196307,217,OK,1006,444,444
11.299823,219,OK,1005,415,415
11.454975,222,OK,1006,432,432
11.662750,226,OK,1009,438,438
11.765623,228,OK,1007,467,467
11.869321,230,OK,1007,471,471
11.972523,232,OK,1008,464,464
12.076447,234,OK,1006,448,448
12.180267,236,OK,1005,433,433
12.284197,238,OK,1008,431,431
12.387222,240,OK,1005,433,433
12.490765,242,OK,1009,417,417
12.593920,244,OK,1006,408,408
12.697708,246,OK,1006,424,424
12.801385,248,OK,1005,442,442
12.905523,250,OK,1006,451,451
13.009422,252,OK,1008,456,456
13.113074,254,OK,1006,461,461
13.216171,256,OK,1004,450,450
13.319850,258,OK,1006,466,466
13.475867,261,OK,1005,446,446
13.578175,263,OK,1003,444,444
13.682184,265,OK,1006,444,444
13.785608,267,OK,1007,438,438
13.888593,269,OK,1011,410,410
13.992433,271,OK,1004,414,414
14.251356,276,OK,1007,395,395
