timestamp_s,elapsed_s,process_time_s,fps_avg,fps_cv_pct,frames_since_kf,tracking_state,feature_pts,tracked_mps,inlier_ratio,inlier_matches,ok_rate_pct,imu_queue_sz,cpu_pct,mem_kb,timeout_exceeded
0.047490,0.047490,0.000000,21.057,0.000,1,NOT_INITIALIZED,3836,0,0.0000,0,0.00,0,126.34,596624,0
0.098878,0.051388,0.000000,20.227,3.943,2,NOT_INITIALIZED,3843,0,0.0000,0,0.00,0,194.60,620520,0
0.150362,0.051484,0.000000,19.952,3.713,3,NOT_INITIALIZED,3834,0,0.0000,0,0.00,0,174.81,639012,0
0.201798,0.051436,0.000000,19.822,3.388,4,NOT_INITIALIZED,3839,0,0.0000,0,0.00,0,116.65,642012,0
0.253306,0.051508,0.000000,19.739,3.131,5,NOT_INITIALIZED,3815,0,0.0000,0,0.00,0,97.07,642232,0
0.304674,0.051369,0.000000,19.693,2.899,6,NOT_INITIALIZED,3852,0,0.0000,0,0.00,0,97.34,642292,0
0.356196,0.051522,0.000000,19.652,2.726,7,NOT_INITIALIZED,3787,0,0.0000,0,0.00,0,116.46,642304,0
0.408030,0.051834,0.000000,19.606,2.618,8,NOT_INITIALIZED,3884,0,0.0000,0,0.00,0,115.75,642544,0
0.459543,0.051512,0.000000,19.585,2.485,9,NOT_INITIALIZED,3799,0,0.0000,0,0.00,0,97.06,642872,0
0.511008,0.051465,0.000000,19.569,2.368,10,NOT_INITIALIZED,3839,0,0.0000,0,0.00,0,116.58,641516,0
0.562616,0.051608,0.000000,19.552,2.273,11,NOT_INITIALIZED,3829,0,0.0000,0,0.00,0,96.88,642128,0
0.614346,0.051730,0.000000,19.533,2.197,12,NOT_INITIALIZED,3803,0,0.0000,0,0.00,0,96.66,642500,0
0.665837,0.051491,0.000000,19.524,2.116,13,NOT_INITIALIZED,3849,0,0.0000,0,0.00,0,116.53,642560,0
0.717321,0.051484,0.000000,19.517,2.042,14,NOT_INITIALIZED,3860,0,0.0000,0,0.00,0,97.12,642620,0
0.769079,0.051759,0.000000,19.504,1.988,15,NOT_INITIALIZED,3805,0,0.0000,0,0.00,0,96.60,642660,0
0.820523,0.051443,0.000000,19.500,1.926,16,NOT_INITIALIZED,3827,0,0.0000,0,0.00,0,97.19,642704,0
